GENE 	AB_1-0	AB_1-1	AB_1-2	AB_1-3	AB_1-4	AB_2-0	AB_2-1	AB_2-2	AB_2-3	AB_2-4	AB_4-0	AB_4-1	AB_4-2	AB_4-3	AB_4-4
SNORD94	180	60	224	362	478	528	154	252	260	118	138	132	58	76	34
SNORD95	14	36	26	32	26	22	8	14	14	50	46	20	38	58	30
SNORD96A	242	130	426	234	148	262	190	156	114	160	254	306	154	128	38
SNORD96B	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0
SNORD97	6	24	32	24	28	54	2	24	24	26	28	40	16	26	12
SNORD98	24	6	48	102	76	26	28	48	60	16	18	14	30	22	0
SNORD99	0	28	24	6	28	20	16	0	18	14	24	46	18	16	10
SNPH	256	134	304	1790	1152	432	150	358	530	942	634	224	322	474	370
SNRK	1930	1966	5424	6986	3544	3950	2348	3464	2182	2248	2552	2824	2422	1790	1170
SNRNP200	21890	58440	72864	104624	61570	66752	58248	52436	35268	61920	74496	78434	54698	54152	33072
SNRNP25	4598	2670	2204	2302	2026	3588	2406	1860	1510	2046	4346	2592	1484	1172	1066
SNRNP27	2930	1660	3970	2856	2330	2578	1322	2466	1658	1814	1200	2042	1220	1364	972
SNRNP35	298	428	430	482	412	254	342	282	230	610	562	702	444	482	418
SNRNP40	11662	9188	9610	10934	8550	10308	8854	7034	4468	7582	12958	13282	6610	6022	4602
SNRNP48	5842	2036	6216	8764	3078	7830	2872	4740	2502	1606	2830	2782	2166	2380	868
SNRNP70	3472	6460	5186	4110	5492	4922	4428	4260	3794	10696	12050	9982	8296	6930	8642
SNRPA	4302	5048	4378	7112	4346	2690	3254	3370	2818	5406	8030	7630	7186	7222	4038
SNRPA1	12172	8026	9142	5956	6480	6210	6160	6368	4066	5656	10020	11568	7080	4086	4158
SNRPB	17476	18656	10222	10722	7288	8870	10818	8182	5622	21428	33828	25288	18628	18260	14720
SNRPB2	14588	13578	8482	4848	4154	7786	5682	4136	2952	6000	12040	18016	6088	5760	4184
SNRPC	9752	6462	4406	3180	3012	2894	3732	2936	1870	4744	8100	7352	4562	3264	3172
SNRPD1	27612	9832	7972	4544	5038	12280	9596	4976	3466	5450	17566	16378	7338	5062	4634
SNRPD2	31032	19336	14068	19484	12050	7940	16280	10622	12132	21334	27036	25246	22590	20348	13546
SNRPD2P2	6	2	4	2	0	0	0	0	0	2	6	0	0	0	0
SNRPD3	15044	10328	4130	2892	3314	4936	4194	2948	2514	8724	14542	14026	8450	7516	6778
SNRPE	39054	6230	9364	7988	8742	11910	9598	7472	5538	5558	10822	10102	5888	3980	3226
SNRPF	13080	5178	2594	1400	1884	3876	2380	1828	1512	3842	8476	7992	5234	4770	3344
SNRPG	21074	6748	9186	3394	5004	7574	4274	4888	3052	5828	7736	7336	4730	3876	4486
SNRPN	270	710	2022	4016	2910	268	562	1430	1916	4242	324	746	2298	4336	3316
SNTA1	144	246	764	774	450	478	234	524	450	1544	822	460	856	702	542
SNTB1	3902	964	254	1760	1552	4872	862	156	482	1672	3158	1278	152	444	140
SNTB2	4372	3406	7922	7574	6932	6730	3698	4754	2886	3122	4440	5802	2850	2418	1900
SNTG1	0	2	0	4	0	8	0	8	2	12	0	0	4	0	0
SNTG2	146	40	8	12	12	222	24	14	12	44	312	74	28	20	22
SNTN	0	0	4	6	0	0	0	24	4	0	6	6	2	0	0
SNUPN	2714	1828	1744	2050	1560	2084	1746	1426	1190	1706	3124	2268	1288	1020	914
SNURF	274	190	64	54	46	284	182	72	22	84	406	244	148	166	82
SNW1	4530	7562	9478	11634	5870	8908	5864	6454	4754	8752	10164	11214	7576	9170	4796
SNX1	3764	3986	7228	8934	6082	5390	4470	5450	3932	4758	5106	6140	3488	3008	2500
SNX10	2402	1100	3234	4318	2976	3174	1786	2280	1810	1946	1326	2350	2006	1594	958
SNX11	1724	2058	2806	3544	1946	2692	1860	2096	1332	2566	2716	2378	1282	1476	1140
SNX12	10038	5384	7880	11758	5978	9536	6520	5352	3994	6066	10760	6886	5800	7540	3274
SNX13	3848	1602	5950	7290	6252	5188	1638	3842	4010	3788	2960	2954	2420	3178	1554
SNX14	3448	2240	11120	21500	15564	4642	3102	7356	8520	7446	2276	3438	2760	4454	2410
SNX15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX16	2374	1512	6068	10490	4328	2388	2508	4692	5954	3734	1056	2612	2270	5020	1668
SNX17	2302	3124	6564	11482	6094	4380	4234	5382	5206	8822	5960	5762	5042	5218	4328
SNX18	3514	4774	8866	9160	4630	3098	5106	5054	3478	3130	2238	6026	4450	5884	1944
SNX19	2786	3258	7960	11086	8464	6384	3586	5988	5162	5500	4178	5074	4364	3536	2606
SNX2	9632	3724	8638	20098	9010	9104	4722	6806	5282	4232	4984	5038	4062	4910	2352
SNX20	0	14	6	16	20	0	6	28	30	10	0	32	16	12	6
SNX21	418	254	852	2104	958	712	358	676	818	1442	1178	606	682	1028	492
SNX22	114	156	132	92	80	146	88	156	72	162	290	324	116	90	66
SNX24	1014	542	1310	4212	3134	1234	454	1008	1416	1278	694	706	592	1154	694
SNX25	2128	2130	6856	10782	6064	2936	3436	5536	4578	3196	1302	3198	3408	3702	1430
SNX27	8126	3532	9428	13256	9172	12764	4044	6852	6258	6874	9354	6896	4136	5480	3992
SNX29	512	922	2196	2804	1916	1352	908	1544	1174	1618	1308	1334	1146	814	1028
SNX29P1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
SNX29P2	0	0	0	0	2	0	4	0	0	0	0	0	4	4	0
SNX3	9076	6388	13538	12466	7954	8746	4344	8256	5768	9246	7738	7894	6450	8816	5564
SNX30	1646	5574	5820	20136	7008	4292	6302	4542	4230	4318	3170	8208	4160	8814	2826
SNX31	40	2	0	38	6	22	0	2	2	14	12	0	0	8	16
SNX32	0	2	16	56	38	0	10	22	32	96	10	18	22	18	18
SNX33	1784	2756	3536	6854	3868	4078	2424	2452	2026	3428	5114	3312	2342	2346	1984
SNX4	5290	3890	11504	8178	6330	6470	4564	7668	4106	4836	3332	4974	4236	3142	2398
SNX5	35782	12308	26036	31946	22464	32910	13414	18524	13884	11928	21148	20558	16072	17666	7510
SNX6	22430	6764	20634	24612	16512	18780	8632	13902	9780	8448	9258	10876	8140	8272	4756
SNX7	8646	1752	5676	9190	7692	4228	2048	4058	3712	2908	2314	2672	2180	2894	1600
SNX8	1388	2880	2376	6718	3578	3702	3442	2086	2118	4484	5932	4500	3174	3258	2236
SNX9	2362	3754	4736	8108	3604	2950	2650	3068	3020	4628	3920	4912	3576	4524	2598
SOAT1	1972	4856	15396	16396	11670	2582	5870	8778	7042	4972	780	5478	3488	3192	2254
SOAT2	0	0	0	12	52	0	0	0	8	24	4	0	0	0	8
SOBP	312	156	224	106	148	546	154	156	80	86	670	284	98	70	74
SOCS1	1406	624	392	430	138	618	266	456	390	2024	2248	1022	4308	2900	1356
SOCS2	6034	3250	7848	9840	7914	6062	2358	3848	4180	4516	3912	3546	2522	5192	3016
SOCS3	1548	1648	5232	14180	8254	1568	1164	3192	4674	13142	4498	2058	7378	19380	7208
SOCS4	8696	3072	7410	7474	6312	7358	3188	4416	4600	3942	3328	4270	1746	2026	1242
SOCS5	5592	1884	6400	7050	4596	5674	2060	3438	2778	2756	2922	2450	1732	1896	1310
SOCS6	6588	5250	9586	16410	10126	8592	5406	6798	7930	7534	4522	6840	3436	7400	3742
SOCS7	2198	4742	5274	15688	4480	7720	6326	4232	5724	7512	5912	6728	5836	8586	3132
SOD1	18204	8584	4284	3488	3444	5650	4756	2768	2498	8670	13924	10736	8506	8744	7688
SOD2	5826	2834	4848	3588	2616	5410	2800	2622	1578	1750	4108	4218	1988	1848	1308
SOD3	98	26	70	518	532	44	20	126	544	2994	226	24	238	486	700
SOHLH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOHLH2	0	2	0	4	0	0	0	0	2	0	2	8	2	4	2
SOLH	970	3806	1974	2582	1614	1758	2904	1412	930	3316	5922	5694	2748	3484	2290
SON	41846	32440	106840	102414	76294	116508	55594	71980	42616	38164	55666	57270	30300	26528	19700
SORBS1	2110	6526	2352	3872	1644	5628	5420	1602	724	906	4446	7738	1734	1444	686
SORBS2	1696	10	68	190	476	1490	12	32	172	234	674	12	26	40	156
SORBS3	966	2702	2732	4832	2812	740	1498	1686	2142	7216	2668	3732	4150	8050	4124
SORCS1	334	190	504	7740	12854	1164	182	358	3852	11750	738	398	172	488	2860
SORCS2	78	144	364	1076	560	94	130	466	666	3388	140	222	398	772	648
SORCS3	108	14	0	14	12	312	10	2	0	16	280	26	2	10	6
SORD	6848	8074	8740	6976	3526	8468	6026	5142	2874	6122	12772	12050	5700	4774	3726
SORL1	15434	4964	10362	49482	34556	34370	6114	8160	10706	9756	24034	10352	8244	10898	5888
SORT1	6986	3700	8398	11672	14320	15636	4146	6628	5812	9608	11120	6786	3520	4660	5726
SOS1	4986	3318	10902	12844	9270	10738	4030	8018	5746	3944	4142	4938	3118	2878	2236
SOS2	1944	3096	9012	10188	5870	3040	3698	6014	4672	3842	1786	5516	3250	3152	2186
SOST	18	0	8	0	4	14	8	0	0	0	18	4	2	6	2
SOSTDC1	6	0	8	2	4	8	0	0	0	0	10	6	4	4	2
SOWAHA	82	0	0	4	12	4	0	0	0	6	0	0	0	0	2
SOWAHB	0	14	2	144	228	16	6	4	22	8	20	6	8	10	64
SOWAHC	3220	6408	6988	3466	2574	3080	6680	3892	2520	1790	2426	7694	2470	4166	1460
SOWAHD	56	18	22	64	54	50	12	24	30	114	164	80	70	66	68
SOX1	2	0	0	4	0	10	0	0	2	0	18	0	0	0	0
SOX10	30	78	104	1250	488	32	56	94	254	604	208	92	192	1172	284
SOX11	19916	9198	17540	31634	24142	25002	10260	12964	10934	14814	15254	12850	7998	9204	7246
SOX12	8882	7138	8060	19502	10138	7612	6438	7290	8954	17582	13496	10170	6630	7536	7850
SOX13	5548	5302	3690	15558	7180	8634	5320	2534	2396	3360	15068	6540	3004	5700	3238
SOX14	44	44	0	30	12	14	14	2	4	24	18	14	8	30	18
SOX15	384	158	48	22	32	206	104	56	38	100	1010	254	184	298	148
SOX17	70	20	10242	17826	7594	70	46	5358	6888	20466	106	112	6358	18466	13950
SOX18	2	256	158	598	624	2	162	86	210	568	18	302	468	444	370
SOX2	26464	122	588	644	620	15858	42	450	254	376	13924	126	310	940	830
SOX21	652	8	182	468	390	272	4	106	738	2708	344	16	28	38	544
SOX2-OT	1212	60	32	32	22	758	38	38	20	12	442	34	10	2	14
SOX3	986	160	40	36	56	876	62	24	8	124	2612	274	302	318	208
SOX30	6	6	36	44	8	0	0	22	14	8	12	18	12	8	0
SOX4	42370	20036	32136	38256	15606	35766	20840	21930	20426	29222	26790	25798	22308	27306	13472
SOX5	20	224	2118	3008	1206	70	124	1502	1918	1522	66	168	780	1562	824
SOX6	0	44	132	180	140	50	46	92	198	180	28	42	20	38	204
SOX7	80	84	226	170	44	60	60	118	160	224	60	116	390	408	152
SOX8	934	1850	406	862	304	732	1464	284	176	442	1318	1772	266	632	302
SOX9	1898	2462	248	1886	432	2440	2362	216	76	88	2130	2942	112	232	104
SP1	9704	12002	25006	29286	22138	22570	12148	18332	11240	13880	12728	17860	12162	11186	6576
SP100	530	112	146	82	64	270	96	178	92	86	338	436	108	66	52
SP110	268	304	90	60	26	496	280	66	8	14	646	584	116	114	50
SP140	84	136	46	14	10	54	122	16	2	4	82	90	14	8	16
