GENE 	AB_1-0	AB_1-1	AB_1-2	AB_1-3	AB_1-4	AB_2-0	AB_2-1	AB_2-2	AB_2-3	AB_2-4	AB_4-0	AB_4-1	AB_4-2	AB_4-3	AB_4-4
MARC1	6824	2606	1618	2328	3994	9204	3964	1350	1118	974	4644	3730	840	734	550
MARCH1	1098	354	974	638	1064	1448	266	882	426	324	492	694	348	256	106
MARC2	296	152	144	136	164	364	104	118	136	300	456	312	198	218	168
MARCH2	380	314	460	1142	1322	328	188	394	784	1754	618	494	494	720	1142
MARCH3	1660	344	1422	506	222	930	232	852	464	1182	982	460	500	812	876
MARCH4	162	162	208	98	88	336	146	188	84	430	386	230	138	182	152
MARCH5	8454	4004	9708	11418	8192	7370	4626	8202	5826	5610	4188	6306	5120	3842	2448
MARCH6	6824	9000	19850	25460	20572	15792	9304	15018	12822	16836	10628	11896	11150	13808	8038
MARCH7	26512	9726	39266	46158	28432	29576	12470	22442	17188	16278	14354	15300	9960	11980	6182
MARCH8	742	800	1106	1838	1156	1180	778	942	642	870	898	1036	734	740	426
MARCH9	156	64	200	634	574	206	90	146	158	662	380	90	176	232	254
MARCH10	14	2	10	0	10	14	10	14	2	0	10	2	0	0	12
MARCH11	28	76	54	710	346	0	20	32	200	1158	32	70	218	1054	114
SEPT1	10	26	28	74	52	14	24	28	62	68	36	52	48	44	58
SEPT2	55116	47252	110926	108008	67178	92148	52146	67812	46730	50404	66292	62606	47204	40576	26616
SEPT3	4576	708	2452	2442	2008	5896	766	1706	1204	1562	4422	1482	1146	1252	728
SEPT4	90	218	62	92	66	46	64	66	68	174	308	180	266	252	172
SEPT5	0	16	46	46	20	16	14	26	52	42	46	36	54	100	50
SEPT6	878	872	1396	6216	3900	996	796	972	2076	5294	1714	1618	1712	3664	2192
SEPT7	25782	12806	42038	36084	28160	33242	16392	30746	19680	17726	13828	18764	13456	12116	9758
SEPT8	2390	3344	6172	7368	6388	3426	2878	4080	3698	4834	4248	5086	3880	3794	3174
SEPT9	18786	41856	35344	63944	29624	27926	35238	27080	18716	35878	49718	48822	48030	50164	27918
SEPT10	23178	11860	36306	36178	20450	15708	15396	23380	15048	11418	8586	18874	13260	11608	7040
SEPT11	21350	31904	87792	77952	59626	49192	36340	63654	36246	32584	23114	38488	32818	26478	21230
SEPT12	0	0	4	0	0	0	0	6	2	0	0	0	0	2	0
SEPT14	0	0	18	30	10	6	10	10	2	0	10	10	6	0	6
SEPT15	16568	9174	16440	14012	13080	11928	9168	9554	7174	9118	10758	14416	7402	8008	5336
DEC1	0	92	108	42	28	2	48	78	74	96	6	106	126	136	26
1/2-SBSRNA4	48	30	88	86	96	70	42	70	80	144	92	104	52	32	66
A1BG	84	32	68	128	82	42	16	62	96	446	180	156	328	302	218
A1BG-AS1	42	68	68	82	56	40	50	64	54	74	50	82	60	46	56
A1CF	2	4	2	20	34	6	0	8	12	16	8	10	8	0	2
A2LD1	90	68	146	476	288	82	66	138	198	402	138	152	166	106	146
A2M	42	28	18	4	4	12	0	6	6	4	20	14	4	2	4
A2ML1	362	60	30	854	300	608	64	42	360	774	756	154	60	310	134
A2MP1	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0
A4GALT	110	1736	962	508	680	428	1604	930	316	382	690	2056	840	608	570
A4GNT	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA1	0	0	0	0	0	12	0	0	0	0	0	2	8	0	2
AAAS	2102	3064	2260	3766	2092	1568	1704	1716	1682	4910	3700	3824	2952	4102	3518
AACS	4768	3542	5414	8254	3632	8278	4424	4390	4144	6918	9564	4690	3240	3626	3138
AACSP1	0	2	0	4	2	8	20	2	4	8	76	52	2	6	6
AADAC	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	20	6	18	2	14	16	0	18	4	6	38	0	24	46	44
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	1174	2974	2614	2494	2010	1392	2736	2024	1682	1870	1034	3572	1270	1320	556
AAGAB	8774	9392	19584	19704	15120	13184	10578	12714	8532	11380	9430	11662	7532	6786	6102
AAK1	3768	2328	6380	6456	4400	6484	2870	4552	2816	2830	3988	4242	2516	2918	1788
AAMP	5898	10942	6818	9184	6804	7986	8928	5464	4698	11106	17838	14632	8512	8872	7020
AANAT	0	18	6	14	14	12	0	2	4	8	16	2	0	6	10
AARS	14790	29130	26256	103152	34084	24538	25824	20756	25320	45968	47348	49578	51600	65752	21294
AARS2	1218	2612	2974	3686	2972	2268	3108	2628	2078	4482	4810	4836	3822	2272	2536
AARSD1	2254	3296	2378	3652	2400	2458	3064	2176	2140	3638	3622	4352	2820	3630	2038
AASDH	1466	860	3036	6010	3700	2510	1006	2288	2036	2200	1234	1702	1506	1340	804
AASDHPPT	15928	5400	18732	14634	13512	16042	7784	11656	6872	5048	5536	6484	3932	2406	2548
AASS	27674	2442	8512	8218	9918	39322	2722	7154	6156	6468	25502	5718	4968	3942	3704
AATF	4106	9686	8310	8252	4504	7024	8720	5322	3568	9142	8908	9982	8720	8508	5524
AATK	0	20	48	34	72	56	16	26	22	100	132	70	44	4	30
AATK-AS1	0	0	2	0	2	0	0	0	0	0	6	8	2	2	0
ABAT	298	92	754	1974	1282	730	188	676	520	452	878	322	734	576	292
ABCA1	6222	422	3326	3966	6986	11464	482	2550	2164	4374	4684	748	354	442	2152
ABCA10	4	14	18	12	8	8	14	16	10	6	20	10	0	0	0
ABCA11P	816	436	578	1004	488	972	694	478	330	418	744	670	358	332	192
ABCA12	8	6	24	32	38	16	6	4	2	4	32	24	2	2	8
ABCA13	0	18	20	20	0	24	32	0	6	2	14	26	2	4	0
ABCA17P	0	2	12	0	0	0	2	18	6	4	14	6	12	4	6
ABCA2	102	280	514	2736	2782	456	434	612	1182	3308	882	778	616	986	1138
ABCA3	282	442	308	1288	1430	584	458	208	744	1754	1006	606	296	688	1026
ABCA4	0	34	4	34	24	0	30	4	28	46	10	22	6	10	4
ABCA5	1024	130	330	846	778	1398	132	324	322	292	514	208	72	102	110
ABCA6	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
ABCA7	88	300	398	2224	2502	204	164	510	1254	4554	612	626	1044	1338	1560
ABCA8	0	0	12	10	4	0	0	12	2	2	0	2	2	0	4
ABCA9	16	4	2	12	18	0	0	4	10	2	0	10	4	6	4
ABCB1	128	38	16	44	10	166	66	18	102	492	122	36	28	82	18
ABCB10	3336	2710	4824	3550	2484	2974	2574	3038	1912	1766	2082	3424	1882	1924	1128
ABCB11	2	0	6	62	36	0	0	6	12	12	2	0	0	0	14
ABCB4	34	118	76	58	50	62	108	30	12	60	64	116	84	28	20
ABCB5	2	4	0	8	6	0	24	16	4	2	0	24	0	0	2
ABCB6	1464	1584	4666	14434	9336	2110	2122	4194	6010	13594	3892	3622	5338	5346	6768
ABCB7	4716	3652	6104	11450	6042	7754	4352	5058	4232	3930	5528	6146	4586	5344	1766
ABCB8	464	706	910	1752	1544	876	764	884	1100	2502	1528	1332	1286	1174	1794
ABCB9	156	136	326	278	238	278	98	260	80	220	446	140	150	108	84
ABCC1	5126	10250	13736	17638	11034	10544	11598	11660	7144	11446	12712	17724	13076	14382	6162
ABCC10	386	1408	1334	2472	1470	1128	1186	1008	804	1814	2066	2186	948	1604	882
ABCC11	14	10	18	40	6	2	10	8	8	8	10	48	20	22	14
ABCC12	0	16	24	16	24	16	0	16	14	12	2	6	26	14	20
ABCC13	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0
ABCC2	0	28	72	76	72	32	40	34	66	70	26	62	30	20	38
ABCC3	0	4	12	32	4	4	8	4	2	4	4	14	16	54	14
ABCC4	3488	3576	10438	46384	46536	6320	3976	6574	12560	13294	3482	5380	2378	3696	5072
ABCC5	2796	4806	5968	12910	7706	6838	5562	5574	4874	6778	6332	7842	4716	7880	3980
ABCC6	8	36	24	98	228	14	70	54	44	162	20	86	38	44	28
ABCC6P1	2	6	14	120	228	0	2	8	56	78	8	6	6	4	8
ABCC6P2	2	0	0	2	6	2	0	0	0	0	0	0	2	0	6
ABCC8	38	14	30	26	4	68	0	12	4	4	46	8	24	4	0
ABCC9	1136	1130	6148	4336	2774	1888	588	3894	8398	5818	1682	2032	2536	2990	2250
ABCD1	82	3516	2732	1610	886	148	2494	1884	1710	3234	408	3878	2252	1588	2372
ABCD2	18	4	4	0	4	12	0	2	2	0	16	0	0	0	0
ABCD3	6926	3772	10394	7510	7990	9970	5150	6944	3680	2568	3938	5888	2808	2180	1878
ABCD4	2810	5636	8456	10796	12280	3962	6094	7648	7740	11366	5264	8260	5850	5094	5174
ABCE1	46522	16218	43806	23358	16916	47414	18598	19474	8940	7836	24252	25436	9336	8146	5372
ABCF1	8996	13394	11972	16098	8972	15418	13382	7954	6578	13094	23322	20312	8850	11094	6728
ABCF2	5712	10942	7636	10622	5160	10034	8890	5308	3262	6754	14470	11600	5998	8234	4274
ABCF3	1722	3100	2602	3564	2286	2308	2142	1892	1598	3768	6234	4350	2604	3156	2276
ABCG1	244	28	16	110	104	620	14	18	40	534	1046	40	10	2	66
ABCG2	1112	1858	2154	984	416	1048	2100	1106	116	56	838	2332	1242	2012	186
ABCG4	0	34	306	230	258	32	34	356	498	742	52	78	382	350	268
ABCG5	0	4	2	0	2	10	0	0	0	8	8	0	6	0	0
ABCG8	0	2	0	0	0	0	0	0	6	0	0	0	0	0	2
ABHD1	0	6	8	0	0	22	24	2	2	2	22	8	2	30	2
ABHD10	5612	2650	8214	12936	7626	7148	3348	6526	4122	2984	2998	3284	3012	2736	1462
ABHD11	252	304	364	860	752	220	148	224	314	856	554	524	370	248	368
ABHD11-AS1	0	2	4	4	6	0	0	8	2	4	4	0	0	0	4
ABHD12	2348	3430	2718	3232	2388	2252	2342	2108	1654	3468	4964	4518	2572	2580	2404
ABHD12B	24	882	302	158	72	20	780	112	52	46	36	950	128	142	54
ABHD13	4458	2306	7650	6350	5390	6356	2562	4458	3002	2430	2706	3082	1642	1254	1250
ABHD14A	112	96	124	124	220	42	34	72	68	298	78	68	112	84	146
ABHD14A-ACY1	14	0	0	0	6	0	0	0	0	2	0	0	0	0	0
ABHD14B	250	314	632	750	426	176	296	410	314	614	392	746	902	578	298
ABHD15	74	106	256	48	190	88	88	132	48	146	118	184	62	24	126
ABHD16A	966	3032	1828	3588	2232	1050	2286	1592	1856	3048	1878	3544	1940	2180	1574
ABHD16B	18	42	58	38	18	14	14	30	24	138	96	48	28	18	62
ABHD2	3626	3822	7926	9140	7370	7710	4150	5734	3080	4564	6230	6358	4628	3686	2690
ABHD3	1024	560	2470	1178	1498	552	574	1532	1322	862	434	1184	932	462	612
ABHD4	2448	3110	2356	9068	5858	2590	2226	1686	3140	6556	4700	4628	2778	4450	4726
ABHD5	4176	2934	5038	2686	2918	4258	2350	2808	1692	2106	3132	3500	1742	1344	1354
ABHD6	258	1972	2030	1692	1494	438	1056	912	894	2178	722	2444	1810	2156	1384
ABHD8	286	420	228	652	540	320	268	238	404	1296	724	698	414	740	678
ABI1	6236	2706	7540	9524	5236	4748	2100	4594	2946	3732	3496	3570	3062	3910	2374
ABI2	13236	8078	23358	43272	23800	22298	7840	14646	14986	16480	13680	14786	11410	13900	6996
ABI3	70	268	86	246	80	98	136	84	54	62	262	344	278	314	124
ABI3BP	46	6	104	90	106	42	10	110	84	106	16	20	8	0	22
ABL1	6506	12320	13088	44828	17210	12994	11468	9562	7440	14222	19112	15938	12098	15608	8404
ABL2	2744	3534	7700	12054	6712	6458	4198	6238	5386	5652	4604	5532	4568	4236	3162
ABLIM1	6132	19190	8042	9328	6416	13706	18748	5078	3746	4888	9796	31596	4500	4988	4008
ABLIM2	18	18	14	4	6	48	2	10	10	30	84	8	28	72	32
ABLIM3	68	82	110	86	20	60	60	134	10	8	80	130	214	70	14
ABO	12	4	14	36	32	8	4	4	8	32	10	12	16	6	8
ABP1	0	2	0	0	0	8	0	4	0	0	4	6	2	0	2
ABR	2036	2592	8108	22972	8830	4450	2968	6636	8586	18928	5462	4908	8810	12092	7022
ABRA	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ABT1	5666	8694	7554	10786	7644	7756	6796	7224	5270	9076	11072	8524	6418	6724	5054
ABTB1	150	56	178	266	340	120	90	242	146	214	214	94	240	104	250
ABTB2	836	1602	2408	9214	1960	1788	1308	2616	1968	3594	2700	1656	4362	6862	3274
ACAA1	1282	2766	1358	1584	1198	1814	1854	1240	892	2216	3790	2940	1532	1310	1180
ACAA2	7658	14834	11322	12594	8428	9690	10200	8640	7444	18340	16012	17390	15932	13566	9118
ACACA	14302	23060	37038	36468	14468	53964	30182	27230	15402	14820	39498	37690	18498	21332	11236
ACACB	302	516	464	700	708	1064	478	436	200	280	1418	946	366	244	236
ACAD10	502	884	1014	2682	2288	918	738	998	1180	2230	1410	1858	1246	1092	966
ACAD11	116	106	70	208	206	38	80	124	94	290	110	278	144	110	74
ACAD8	6708	1806	2200	2280	2306	5844	1498	1296	1168	2076	5262	2858	974	1408	1048
ACAD9	1724	1884	2068	2578	2448	1834	1714	1438	1200	2626	3360	2866	1742	1370	1220
ACADL	58	34	14	28	40	30	14	10	16	6	4	42	16	38	2
ACADM	18324	6320	20964	13432	11802	17018	6922	15328	10146	7246	7078	10890	5772	3586	3530
ACADS	86	134	282	476	358	28	130	222	334	960	194	316	372	452	396
ACADSB	2534	974	4458	3088	2402	3566	998	4136	2068	1462	1536	1438	2302	1900	640
ACADVL	1154	2276	2430	6104	4234	2356	2480	2630	3712	7668	3644	3494	3614	3546	3502
ACAN	28	30	178	164	106	74	30	118	36	18	72	60	102	74	54
ACAP1	258	262	132	526	114	466	398	170	172	146	1104	638	242	472	160
ACAP2	8738	3270	17480	20782	13804	10118	4512	10534	9570	10034	4178	6576	4862	5424	3164
ACAP3	248	854	836	1736	912	544	904	860	690	1620	1206	1466	1422	1574	1220
ACAT1	2994	2730	5100	3184	2082	3324	2896	3296	1770	1998	3558	4926	2958	2006	1676
ACAT2	39740	8900	14446	10032	6288	25710	9718	9486	5370	8896	38664	14106	6920	4646	7022
ACBD3	3916	4968	10226	14060	6378	5340	6374	7204	4990	4496	3354	7172	4088	9420	2232
ACBD4	90	42	90	442	290	72	34	78	218	806	210	176	284	414	360
ACBD5	2360	1520	6974	8560	4316	3738	2232	3964	3636	4036	1934	3154	2620	2952	1670
ACBD6	4206	3338	3970	9828	4656	4688	2958	3004	3586	4792	5188	3984	3228	4774	2678
ACBD7	4212	282	444	648	700	2500	224	348	400	522	1366	384	148	130	140
ACCN1	120	256	56	234	46	296	102	54	44	160	466	168	92	258	30
ACCN2	44	92	372	1310	994	154	140	404	206	270	258	336	548	638	194
ACCN3	0	20	24	88	44	28	2	12	36	202	14	26	50	60	110
ACCN4	0	4	16	140	66	4	14	8	112	160	12	10	30	116	24
ACCN5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCS	130	254	124	286	188	138	346	206	132	234	214	416	186	156	96
ACCSL	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ACD	584	934	690	956	852	518	624	686	500	1392	1730	1490	976	1144	928
ACE	48	84	76	236	400	144	64	94	94	120	254	180	242	224	116
ACE2	12	48	160	304	1164	18	64	142	144	434	26	80	92	56	650
ACER1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
ACER2	442	256	470	244	368	956	252	290	84	122	664	444	118	44	168
ACER3	4534	2276	5928	7136	5548	5928	2506	3504	2540	1786	2790	2576	1034	1340	1294
ACHE	158	966	440	1072	640	106	622	532	1102	2614	408	1670	1414	3078	1906
ACIN1	6828	8916	8548	16128	12246	12234	7728	7788	14130	16062	12896	13774	12010	11652	7280
ACLY	79858	60790	87228	88242	51612	107674	61332	59952	34012	51942	135674	92856	57054	40338	40642
ACMSD	20	10	14	4	12	10	0	10	2	4	6	4	4	2	0
ACN9	7024	1574	3514	1694	1572	4512	1666	2314	848	846	2006	1924	792	446	564
ACO1	9674	4716	17080	28106	17916	17398	5766	11760	10066	10886	11612	7826	7606	7744	5426
ACO2	4070	10180	6850	13262	7276	4850	4910	5208	4634	12822	10170	10764	9434	13388	7690
ACOT1	152	64	50	26	30	60	52	26	22	110	180	106	28	42	40
ACOT11	98	280	148	310	94	176	348	136	80	108	260	358	94	116	40
ACOT12	0	36	12	18	66	10	14	2	6	6	4	28	2	0	6
ACOT13	3314	694	842	1126	1018	1254	360	544	626	1084	1530	1064	718	902	554
ACOT2	276	124	82	108	90	208	110	116	108	238	618	484	196	200	198
ACOT4	36	0	2	0	0	12	0	2	0	0	12	12	2	2	4
ACOT6	28	26	4	16	6	26	16	4	8	16	24	42	10	14	6
ACOT7	4906	6226	4700	4128	2998	4572	7384	3750	2222	3720	11684	9090	3756	2688	4208
ACOT8	682	408	510	700	778	828	354	446	544	1226	1024	614	556	796	652
ACOT9	3514	3076	5796	4980	3334	3078	3908	3386	2678	2688	3190	4746	2884	3200	1746
ACOX1	4484	5030	17090	10028	6286	6478	6230	12776	9386	8984	5502	7788	7598	7072	5070
ACOX2	198	104	114	180	214	74	110	100	76	188	160	222	264	302	144
ACOX3	938	1694	14922	17076	9518	1140	1576	12132	25726	35628	1658	2194	12390	14284	18748
ACOXL	424	212	46	264	82	864	202	58	56	56	866	260	32	152	84
ACP1	26482	11240	16412	14446	10194	21062	7740	8588	5816	11026	19166	16442	8974	9076	6116
ACP2	1172	2180	2112	3056	2656	1450	1110	1476	1274	4784	3118	2928	2118	1982	2234
ACP5	346	220	82	102	26	290	190	46	28	40	596	436	174	216	68
ACP6	950	1042	706	1142	736	710	864	506	378	808	1360	1402	660	854	434
ACPL2	2542	1918	7950	13260	11038	3086	2246	6556	7392	9106	2132	3302	4708	10178	4284
ACPP	142	102	636	7218	3488	72	78	722	1508	1204	62	144	298	812	536
ACPT	0	4	4	4	2	0	18	8	4	0	8	4	0	6	6
ACR	0	8	22	32	34	0	0	18	30	62	4	20	60	38	18
ACRBP	36	18	58	138	46	22	12	52	54	76	4	22	42	82	24
ACRC	172	62	234	356	144	74	98	182	138	78	64	142	146	220	22
ACRV1	174	188	168	32	46	410	252	124	40	46	278	180	56	78	54
ACSBG1	144	44	162	46	32	322	52	92	8	34	170	60	34	2	32
ACSBG2	16	12	18	44	14	30	6	22	8	8	12	6	24	4	4
ACSF2	224	194	866	6312	2646	222	178	960	1478	2096	342	492	1326	2306	1164
ACSF3	442	856	384	898	428	432	478	380	372	1316	1372	1068	908	1076	736
ACSL1	4212	832	1474	1408	1336	3396	1426	806	992	8658	2212	1392	470	264	406
ACSL3	22760	12346	30930	24832	15020	27342	12000	17318	7514	7414	18446	20378	11374	11458	5974
ACSL4	43452	23396	49404	58946	30458	67048	31748	31364	19080	13770	30820	39292	13770	20736	9060
ACSL5	36	88	52	52	34	52	86	30	20	48	24	98	22	40	16
ACSL6	238	70	32	40	8	298	92	8	6	20	270	142	4	6	4
ACSM1	56	4	4	0	0	20	0	0	0	6	12	0	0	4	2
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	60	26	54	92	86	30	32	58	46	48	64	48	58	76	20
ACSM4	0	0	112	64	2	0	0	86	112	300	0	2	8	18	80
ACSM5	0	2	0	2	0	0	0	8	0	0	0	0	0	0	0
ACSS1	58	2	2	8	0	50	12	4	2	0	84	12	8	2	0
ACSS2	4768	1050	3630	6848	2192	5736	2282	3070	2178	1836	6598	3064	1908	1882	1558
ACSS3	1836	6814	12566	22856	7066	2666	8886	9000	10536	11756	2098	9528	8746	12574	4598
ACTA1	1618	896	212	274	350	850	424	134	64	596	2654	1078	520	7942	1224
ACTA2	116	206	70	68	354	24	146	40	62	142	218	418	112	122	342
ACTB	428480	481512	440030	673830	362492	407794	375640	342066	358680	563882	779758	633878	611468	981712	513696
ACTBL2	0	4	0	8	0	0	2	0	0	0	4	2	2	2	4
ACTC1	1568	3510	1974	2352	3014	1358	2528	1638	762	1570	2180	3674	5596	29988	3708
ACTG1	773918	975238	1313982	2434440	854532	785402	912890	896062	689424	1154032	962040	1075242	1261246	2172992	745632
ACTG2	118	180	54	36	102	144	68	14	44	104	178	124	62	310	218
ACTL10	0	10	2	12	6	2	0	4	2	8	18	16	0	6	6
ACTL6A	13530	5982	14240	9960	6706	14368	9154	8664	3950	3620	7538	9036	3172	2310	1780
ACTL6B	12	4	0	0	4	38	10	0	0	0	60	6	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	140	146	4	0	0	90	64	2	0	20	238	124	24	6	16
ACTL9	4	0	0	2	0	0	0	0	0	2	0	0	0	0	4
ACTN1	22618	39552	28830	48856	32012	29744	29940	22732	16848	35940	59868	47566	43188	57220	34672
ACTN2	110	56	32	168	134	156	28	28	26	98	142	82	44	120	30
ACTN3	94	8	46	644	232	140	18	20	90	288	364	40	156	1386	106
ACTN4	11898	36448	18200	30386	20986	20654	29852	15174	13236	29284	47246	52236	29838	37166	22358
ACTR10	4318	2516	7854	8326	6698	3436	4182	5562	4648	4200	2854	4226	3186	1996	1770
ACTR1A	7736	13244	20754	22730	16206	10102	10908	14814	9966	18468	14620	17810	13638	13598	11714
ACTR1B	976	1620	2812	6338	4626	1130	1068	2386	3610	12188	2844	3300	3974	5722	5016
ACTR2	53866	39574	189330	168884	107876	79630	52672	98716	76290	68176	38656	59158	46892	43096	35414
ACTR3	31404	18000	36910	34142	24260	28954	22646	24188	19034	16404	17488	24146	13836	17298	10460
ACTR3B	2326	1248	858	1176	878	1870	1478	690	602	804	2234	1986	1046	496	534
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	2	2	2	2	10	8	0	0	0	0	8	0	0	2	0
ACTR5	1330	1412	1324	1910	862	1538	1248	984	638	1124	2660	1726	986	1350	592
ACTR6	6552	1312	5512	3788	3422	3628	1990	3632	2352	1866	2214	2878	1558	908	1108
ACTR8	2726	3018	4448	6020	3356	4544	2644	3152	2098	3832	4822	4556	2802	3370	1778
ACTRT1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1	4558	3578	9488	17990	8636	3858	3530	5768	7430	7564	2742	4784	5368	11352	4422
ACVR1B	3824	3478	5916	11054	10164	3838	2754	4222	6556	13810	4704	5048	5498	6508	6044
ACVR1C	252	404	226	254	176	238	384	156	124	70	144	638	102	76	54
ACVR2A	3636	2890	7180	10754	6400	3888	3606	5730	6436	7046	2308	4204	4072	4510	2672
ACVR2B	19072	10950	34734	51634	37560	34680	13376	30078	26290	23638	19426	19044	16824	20938	12924
ACVRL1	6	12	164	362	156	10	18	304	268	274	6	34	740	386	270
ACY1	32	116	162	292	178	50	72	178	114	266	168	102	216	218	184
ACY3	0	2	0	0	8	14	0	0	2	10	14	2	0	2	0
ACYP1	270	126	484	372	440	242	156	402	406	348	168	194	270	140	244
ACYP2	1268	256	466	846	618	294	276	304	392	488	360	368	266	300	170
ADA	504	876	1066	2904	1248	320	480	894	840	2482	1312	1648	3574	5932	1902
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	24	14	0	0	0	14	18	0	0	6	88	10	0	4	6
ADAL	1468	1022	2196	2556	1336	1592	1402	1496	850	672	1118	1572	842	778	342
ADAM1	444	368	338	174	254	784	452	290	178	252	562	638	132	48	74
ADAM10	19294	10442	30082	43322	37528	29276	12730	25986	19544	17196	13568	16832	12546	14536	10360
ADAM11	38	106	82	114	134	230	70	94	50	238	384	206	106	106	68
ADAM12	18	14	136	1048	380	84	26	162	60	102	36	24	112	206	28
ADAM15	1662	3552	4204	4484	3106	2936	3402	2694	1348	2522	5594	5048	3470	2760	2524
ADAM17	4094	5118	12020	26482	20542	8640	8344	10510	11272	10096	5108	8344	4972	6960	4412
ADAM18	0	6	14	16	4	4	8	18	4	18	0	2	0	2	0
ADAM19	2240	41954	51492	40438	38448	5290	36446	44818	43570	64242	5594	50768	45378	49436	60144
ADAM2	0	0	0	0	12	0	0	0	4	0	0	6	0	0	0
ADAM20	8	0	0	2	4	4	4	4	2	6	2	8	6	8	0
ADAM21	0	2	8	36	14	8	12	8	12	14	2	8	16	66	4
ADAM21P1	0	0	0	4	2	0	0	0	0	2	0	0	4	12	0
ADAM22	2844	1026	1388	1518	1440	4262	1166	1030	384	588	2608	1816	512	292	272
ADAM23	2152	1280	2090	2382	1580	4090	1358	1296	800	1088	4304	2056	1238	808	738
ADAM28	34	6	16	44	66	22	2	14	44	48	12	0	2	4	16
ADAM29	0	6	10	0	0	0	18	14	6	0	0	10	0	0	2
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	2	0	14	32	34	0	4	36	6	12	0	22	6	16	8
ADAM33	2	690	284	380	138	40	798	218	114	110	146	1276	276	172	66
ADAM3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM5P	0	2	0	0	0	0	6	0	0	0	0	8	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0
ADAM8	16	14	36	94	116	14	22	32	32	104	68	54	48	32	38
ADAM9	3208	2236	6242	9354	8782	4556	2332	4174	5022	5458	2530	3602	2970	4428	3186
ADAMDEC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS1	1908	6206	5340	12666	8036	3028	4986	3478	2324	2966	2846	7734	5498	23150	3474
ADAMTS10	68	260	206	742	542	154	202	270	292	836	384	470	372	382	378
ADAMTS12	510	310	1326	5200	6568	1374	294	1098	2128	4202	1596	664	1178	1798	1610
ADAMTS13	2	32	66	392	310	34	24	134	252	844	84	104	190	234	384
ADAMTS14	20	20	38	52	18	54	16	20	6	20	114	76	34	66	34
ADAMTS15	150	388	338	5476	930	540	272	324	1266	2896	856	502	876	4018	1614
ADAMTS16	2286	718	86	78	126	4172	578	82	32	98	3560	1032	86	128	102
ADAMTS17	324	450	74	144	66	438	466	48	26	42	372	358	48	86	44
ADAMTS18	42	16	34	2160	1960	22	40	46	540	1936	26	30	16	208	570
ADAMTS19	5060	7268	4172	6558	4416	8204	7934	3284	3724	5204	5490	11704	2656	2710	1956
ADAMTS2	122	270	654	898	480	206	182	546	232	226	452	554	714	674	414
ADAMTS20	584	688	402	294	90	1478	896	256	86	210	1122	1518	272	236	40
ADAMTS3	760	1688	7868	12146	9960	1310	2338	5680	3424	2470	880	2824	4728	3700	1668
ADAMTS4	402	350	410	888	544	440	338	456	266	442	734	746	1434	836	478
ADAMTS5	226	1832	994	2220	854	222	1182	492	366	344	198	1056	380	878	334
ADAMTS6	52	50	136	720	412	222	44	216	144	142	96	122	100	110	144
ADAMTS7	534	2540	1982	6294	4132	1154	1874	2004	2678	9190	4102	5062	5464	6870	4504
ADAMTS8	502	46	266	304	302	1322	48	414	3478	14476	3182	150	498	2008	3274
ADAMTS9	120	994	3432	9738	13532	300	1312	2822	2202	8982	216	1446	2440	1592	3298
ADAMTS9-AS2	2	4	60	36	46	6	18	20	6	34	2	10	10	12	4
ADAMTSL1	40	32	28	252	96	30	8	12	30	16	44	20	34	62	36
ADAMTSL2	26	1860	182	1282	280	40	1922	346	868	954	60	2274	746	1422	1316
ADAMTSL3	6	68	70	34	84	90	92	62	62	42	66	198	76	118	36
ADAMTSL4	70	100	234	848	526	174	158	280	362	624	304	294	278	726	434
